date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
2026-06-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,323070.45,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2026-06
2026-04-01,expense,Housekeeping,Individual,individual,Housekeeping Supervisor Salary,24204.09,D,,D|Housekeeping|Individual|Housekeeping Supervisor Salary|2026-04
2026-05-01,expense,Housekeeping,Individual,individual,Housekeeping Supervisor Salary,16397.01,D,,D|Housekeeping|Individual|Housekeeping Supervisor Salary|2026-05
2026-06-01,expense,Housekeeping,Individual,individual,Housekeeping Supervisor Salary,23398.07,D,,D|Housekeeping|Individual|Housekeeping Supervisor Salary|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Management Fee,90000,D,,D|Uncategorized|Individual|Management Fee|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Management Fee,90000,D,,D|Uncategorized|Individual|Management Fee|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Management Fee,90000,D,,D|Uncategorized|Individual|Management Fee|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,One Time Operational Procurement,2000,D,,D|Uncategorized|Individual|One Time Operational Procurement|2026-04
2026-07-01,expense,Uncategorized,Individual,individual,One Time Operational Procurement,52694,D,,D|Uncategorized|Individual|One Time Operational Procurement|2026-07
2026-04-01,expense,Uncategorized,Individual,individual,Pest Control Services,21000,D,,D|Uncategorized|Individual|Pest Control Services|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Pest Control Services,21000,D,,D|Uncategorized|Individual|Pest Control Services|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Pest Control Services,21000,D,,D|Uncategorized|Individual|Pest Control Services|2026-06
2026-04-01,expense,Petty Cash,Individual,individual,Petty Cash - Consumables,15683,D,,D|Petty Cash|Individual|Petty Cash - Consumables|2026-04
2026-05-01,expense,Petty Cash,Individual,individual,Petty Cash - Consumables,20538,D,,D|Petty Cash|Individual|Petty Cash - Consumables|2026-05
2026-06-01,expense,Petty Cash,Individual,individual,Petty Cash - Consumables,29600,D,,D|Petty Cash|Individual|Petty Cash - Consumables|2026-06
2026-07-01,expense,Petty Cash,Individual,individual,Petty Cash - Consumables,14712,D,,D|Petty Cash|Individual|Petty Cash - Consumables|2026-07
2026-04-01,expense,Petty Cash,Individual,individual,Petty Cash - Electricals,295,D,,D|Petty Cash|Individual|Petty Cash - Electricals|2026-04
2026-05-01,expense,Petty Cash,Individual,individual,Petty Cash - Electricals,6487,D,,D|Petty Cash|Individual|Petty Cash - Electricals|2026-05
2026-06-01,expense,Petty Cash,Individual,individual,Petty Cash - Electricals,5000,D,,D|Petty Cash|Individual|Petty Cash - Electricals|2026-06
2026-07-01,expense,Petty Cash,Individual,individual,Petty Cash - Electricals,444,D,,D|Petty Cash|Individual|Petty Cash - Electricals|2026-07
2026-04-01,expense,Petty Cash,Individual,individual,Petty Cash - Hardware,755,D,,D|Petty Cash|Individual|Petty Cash - Hardware|2026-04
2026-05-01,expense,Petty Cash,Individual,individual,Petty Cash - Hardware,18917,D,,D|Petty Cash|Individual|Petty Cash - Hardware|2026-05
2026-06-01,expense,Petty Cash,Individual,individual,Petty Cash - Hardware,5365,D,,D|Petty Cash|Individual|Petty Cash - Hardware|2026-06
2026-07-01,expense,Petty Cash,Individual,individual,Petty Cash - Hardware,1015,D,,D|Petty Cash|Individual|Petty Cash - Hardware|2026-07
2026-04-01,expense,Uncategorized,Individual,individual,Plumbers Salary,75588.3,D,,D|Uncategorized|Individual|Plumbers Salary|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Plumbers Salary,86966.39,D,,D|Uncategorized|Individual|Plumbers Salary|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Plumbers Salary,85666.74,D,,D|Uncategorized|Individual|Plumbers Salary|2026-06
2026-04-01,expense,Maintenance,Individual,individual,Rental Charges Machinery,650,D,,D|Maintenance|Individual|Rental Charges Machinery|2026-04
2026-05-01,expense,Maintenance,Individual,individual,Rental Charges Machinery,6650,D,,D|Maintenance|Individual|Rental Charges Machinery|2026-05
2026-06-01,expense,Maintenance,Individual,individual,Rental Charges Machinery,650,D,,D|Maintenance|Individual|Rental Charges Machinery|2026-06
2026-05-01,expense,Maintenance,Individual,individual,Repair Work,17334,D,,D|Maintenance|Individual|Repair Work|2026-05
2026-06-01,expense,Maintenance,Individual,individual,Repair Work,8000,D,,D|Maintenance|Individual|Repair Work|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Roundoff,0.41,D,,D|Uncategorized|Individual|Roundoff|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Roundoff,0.21,D,,D|Uncategorized|Individual|Roundoff|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Roundoff,0.1,D,,D|Uncategorized|Individual|Roundoff|2026-06
2026-04-01,expense,Security,Individual,individual,Security Guards Salary,361130.5,D,,D|Security|Individual|Security Guards Salary|2026-04
2026-05-01,expense,Security,Individual,individual,Security Guards Salary,373679.25,D,,D|Security|Individual|Security Guards Salary|2026-05
2026-06-01,expense,Security,Individual,individual,Security Guards Salary,375840.5,D,,D|Security|Individual|Security Guards Salary|2026-06
2026-04-01,expense,Security,Individual,individual,Security Lady Guards Salary,22065,D,,D|Security|Individual|Security Lady Guards Salary|2026-04
2026-05-01,expense,Security,Individual,individual,Security Lady Guards Salary,22064.87,D,,D|Security|Individual|Security Lady Guards Salary|2026-05
2026-06-01,expense,Security,Individual,individual,Security Lady Guards Salary,21329.5,D,,D|Security|Individual|Security Lady Guards Salary|2026-06
2026-04-01,expense,Security,Individual,individual,Security Supervisor Salary,51642.7,D,,D|Security|Individual|Security Supervisor Salary|2026-04
2026-05-01,expense,Security,Individual,individual,Security Supervisor Salary,54211.84,D,,D|Security|Individual|Security Supervisor Salary|2026-05
2026-06-01,expense,Security,Individual,individual,Security Supervisor Salary,52518,D,,D|Security|Individual|Security Supervisor Salary|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,STP water collection (Sludge Removal),86000,D,,D|Uncategorized|Individual|STP water collection (Sludge Removal)|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,STP water collection (Sludge Removal),94000,D,,D|Uncategorized|Individual|STP water collection (Sludge Removal)|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,STP water collection (Sludge Removal),118000,D,,D|Uncategorized|Individual|STP water collection (Sludge Removal)|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,STP/WTP Operators Salary,67718.7,D,,D|Uncategorized|Individual|STP/WTP Operators Salary|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,STP/WTP Operators Salary,70631.52,D,,D|Uncategorized|Individual|STP/WTP Operators Salary|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,STP/WTP Operators Salary,75995.43,D,,D|Uncategorized|Individual|STP/WTP Operators Salary|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Swimming Pool Services,17500,D,,D|Uncategorized|Individual|Swimming Pool Services|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Swimming Pool Services,17500,D,,D|Uncategorized|Individual|Swimming Pool Services|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Swimming Pool Services,17500,D,,D|Uncategorized|Individual|Swimming Pool Services|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Tank Cleaning Charges,63000,D,,D|Uncategorized|Individual|Tank Cleaning Charges|2026-04
2026-04-01,expense,Uncategorized,Individual,individual,Tools & Stationary,9032,D,,D|Uncategorized|Individual|Tools & Stationary|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Tools & Stationary,740,D,,D|Uncategorized|Individual|Tools & Stationary|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Tools & Stationary,105,D,,D|Uncategorized|Individual|Tools & Stationary|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Walkie Talkies,6000,D,,D|Uncategorized|Individual|Walkie Talkies|2026-04
2026-06-01,expense,Uncategorized,Individual,individual,Walkie Talkies,6000,D,,D|Uncategorized|Individual|Walkie Talkies|2026-06
2026-04-01,expense,Utilities,Water Supplier,company,Water Supply,465815,D,,D|Utilities|Water Supplier|Water Supply|2026-04
2026-05-01,expense,Utilities,Water Supplier,company,Water Supply,478995,D,,D|Utilities|Water Supplier|Water Supply|2026-05
2026-06-01,expense,Utilities,Water Supplier,company,Water Supply,515775,D,,D|Utilities|Water Supplier|Water Supply|2026-06
2026-04-01,expense,Uncategorized,Individual,individual,Water Test Report,6200,D,,D|Uncategorized|Individual|Water Test Report|2026-04
2026-05-01,expense,Uncategorized,Individual,individual,Water Test Report,3700,D,,D|Uncategorized|Individual|Water Test Report|2026-05
2026-06-01,expense,Uncategorized,Individual,individual,Water Test Report,3700,D,,D|Uncategorized|Individual|Water Test Report|2026-06
2026-01-01,expense,Utilities,Airtel,company,Airtel Postpaid Connection,930.24,D,,D|Utilities|Airtel|Airtel Postpaid Connection|2026-01
2026-02-01,expense,Utilities,Airtel,company,Airtel Postpaid Connection,1214.82,D,,D|Utilities|Airtel|Airtel Postpaid Connection|2026-02
2026-03-01,expense,Utilities,Airtel,company,Airtel Postpaid Connection,1214.84,D,,D|Utilities|Airtel|Airtel Postpaid Connection|2026-03
2025-12-01,expense,Uncategorized,Individual,individual,Amazon Purchase,65516.12,D,,D|Uncategorized|Individual|Amazon Purchase|2025-12
2026-02-01,expense,Uncategorized,Individual,individual,Amazon Purchase,21920.87,D,,D|Uncategorized|Individual|Amazon Purchase|2026-02
2026-03-01,expense,Uncategorized,Individual,individual,Amazon Purchase,45686.25,D,,D|Uncategorized|Individual|Amazon Purchase|2026-03
2026-03-01,expense,Maintenance,Individual,individual,AMC (AC),168150,D,,D|Maintenance|Individual|AMC (AC)|2026-03
2026-01-01,expense,Maintenance,Individual,individual,AMC (DG),77200,D,,D|Maintenance|Individual|AMC (DG)|2026-01
2025-11-01,expense,Maintenance,Individual,individual,AMC (Lift),180000,D,,D|Maintenance|Individual|AMC (Lift)|2025-11
2026-01-01,expense,Maintenance,Individual,individual,AMC (Lift),120000,D,,D|Maintenance|Individual|AMC (Lift)|2026-01
2026-03-01,expense,Maintenance,Individual,individual,AMC (Lift),30000,D,,D|Maintenance|Individual|AMC (Lift)|2026-03
2025-10-01,expense,Utilities,BESCOM,company,BESCOM A Block,166867,D,,D|Utilities|BESCOM|BESCOM A Block|2025-10
2025-11-01,expense,Utilities,BESCOM,company,BESCOM A Block,161447,D,,D|Utilities|BESCOM|BESCOM A Block|2025-11
2025-12-01,expense,Utilities,BESCOM,company,BESCOM A Block,177869,D,,D|Utilities|BESCOM|BESCOM A Block|2025-12
2026-01-01,expense,Utilities,BESCOM,company,BESCOM A Block,109898,D,,D|Utilities|BESCOM|BESCOM A Block|2026-01
2026-02-01,expense,Utilities,BESCOM,company,BESCOM A Block,153761,D,,D|Utilities|BESCOM|BESCOM A Block|2026-02
2026-03-01,expense,Utilities,BESCOM,company,BESCOM A Block,182719,D,,D|Utilities|BESCOM|BESCOM A Block|2026-03
2025-12-01,expense,Utilities,BESCOM,company,BESCOM B Block,148642,D,,D|Utilities|BESCOM|BESCOM B Block|2025-12
2026-01-01,expense,Utilities,BESCOM,company,BESCOM B Block,21654,D,,D|Utilities|BESCOM|BESCOM B Block|2026-01
2026-02-01,expense,Utilities,BESCOM,company,BESCOM B Block,35093,D,,D|Utilities|BESCOM|BESCOM B Block|2026-02
2026-03-01,expense,Utilities,BESCOM,company,BESCOM B Block,42948,D,,D|Utilities|BESCOM|BESCOM B Block|2026-03
2025-10-01,expense,Utilities,BESCOM,company,BESCOM E Block,80010,D,,D|Utilities|BESCOM|BESCOM E Block|2025-10
2025-11-01,expense,Utilities,BESCOM,company,BESCOM E Block,86552,D,,D|Utilities|BESCOM|BESCOM E Block|2025-11
2025-12-01,expense,Utilities,BESCOM,company,BESCOM E Block,94830,D,,D|Utilities|BESCOM|BESCOM E Block|2025-12
2026-01-01,expense,Utilities,BESCOM,company,BESCOM E Block,52025,D,,D|Utilities|BESCOM|BESCOM E Block|2026-01
2026-02-01,expense,Utilities,BESCOM,company,BESCOM E Block,74040,D,,D|Utilities|BESCOM|BESCOM E Block|2026-02
2026-03-01,expense,Utilities,BESCOM,company,BESCOM E Block,85007,D,,D|Utilities|BESCOM|BESCOM E Block|2026-03
2025-10-01,expense,Utilities,BESCOM,company,BESCOM G Block,84067,D,,D|Utilities|BESCOM|BESCOM G Block|2025-10
2025-11-01,expense,Utilities,BESCOM,company,BESCOM G Block,90504,D,,D|Utilities|BESCOM|BESCOM G Block|2025-11
2025-12-01,expense,Utilities,BESCOM,company,BESCOM G Block,104716,D,,D|Utilities|BESCOM|BESCOM G Block|2025-12
2026-01-01,expense,Utilities,BESCOM,company,BESCOM G Block,60456,D,,D|Utilities|BESCOM|BESCOM G Block|2026-01
2026-02-01,expense,Utilities,BESCOM,company,BESCOM G Block,86048,D,,D|Utilities|BESCOM|BESCOM G Block|2026-02
2026-03-01,expense,Utilities,BESCOM,company,BESCOM G Block,95777,D,,D|Utilities|BESCOM|BESCOM G Block|2026-03
2026-02-01,expense,Uncategorized,Individual,individual,Chartered Accountant,100000,D,,D|Uncategorized|Individual|Chartered Accountant|2026-02
2026-02-01,expense,Uncategorized,Individual,individual,Debris Disposal,33837,D,,D|Uncategorized|Individual|Debris Disposal|2026-02
2026-03-01,expense,Uncategorized,Individual,individual,Debris Disposal,6000,D,,D|Uncategorized|Individual|Debris Disposal|2026-03
2026-01-01,expense,Maintenance,Individual,individual,DG Service,23234.75,D,,D|Maintenance|Individual|DG Service|2026-01
2025-11-01,expense,Utilities,Individual,individual,Diesel,40000,D,,D|Utilities|Individual|Diesel|2025-11
2026-01-01,expense,Utilities,Individual,individual,Diesel,36548,D,,D|Utilities|Individual|Diesel|2026-01
2026-03-01,expense,Utilities,Individual,individual,Diesel,36548,D,,D|Utilities|Individual|Diesel|2026-03
2025-10-01,expense,Uncategorized,Individual,individual,Electricians Salary,75587.61,D,,D|Uncategorized|Individual|Electricians Salary|2025-10
2025-11-01,expense,Uncategorized,Individual,individual,Electricians Salary,75587.61,D,,D|Uncategorized|Individual|Electricians Salary|2025-11
2025-12-01,expense,Uncategorized,Individual,individual,Electricians Salary,74775,D,,D|Uncategorized|Individual|Electricians Salary|2025-12
2026-01-01,expense,Uncategorized,Individual,individual,Electricians Salary,75587.61,D,,D|Uncategorized|Individual|Electricians Salary|2026-01
2026-02-01,expense,Uncategorized,Individual,individual,Electricians Salary,75588.24,D,,D|Uncategorized|Individual|Electricians Salary|2026-02
2026-03-01,expense,Uncategorized,Individual,individual,Electricians Salary,74774.84,D,,D|Uncategorized|Individual|Electricians Salary|2026-03
2025-11-01,expense,Uncategorized,Individual,individual,Facility Manager,55460,D,,D|Uncategorized|Individual|Facility Manager|2025-11
2025-12-01,expense,Uncategorized,Individual,individual,Facility Manager,59421,D,,D|Uncategorized|Individual|Facility Manager|2025-12
2026-01-01,expense,Uncategorized,Individual,individual,Facility Manager,59421.11,D,,D|Uncategorized|Individual|Facility Manager|2026-01
2026-02-01,expense,Uncategorized,Individual,individual,Facility Manager,59421.11,D,,D|Uncategorized|Individual|Facility Manager|2026-02
2026-03-01,expense,Uncategorized,Individual,individual,Facility Manager,59421.11,D,,D|Uncategorized|Individual|Facility Manager|2026-03
2025-10-01,expense,Housekeeping,Individual,individual,Garbage removal,14000,D,,D|Housekeeping|Individual|Garbage removal|2025-10
2025-11-01,expense,Housekeeping,Individual,individual,Garbage removal,14000,D,,D|Housekeeping|Individual|Garbage removal|2025-11
2025-12-01,expense,Housekeeping,Individual,individual,Garbage removal,14000,D,,D|Housekeeping|Individual|Garbage removal|2025-12
2026-01-01,expense,Housekeeping,Individual,individual,Garbage removal,14000,D,,D|Housekeeping|Individual|Garbage removal|2026-01
2026-02-01,expense,Housekeeping,Individual,individual,Garbage removal,14000,D,,D|Housekeeping|Individual|Garbage removal|2026-02
2026-03-01,expense,Housekeeping,Individual,individual,Garbage removal,14000,D,,D|Housekeeping|Individual|Garbage removal|2026-03
2025-10-01,expense,Gardening,Individual,individual,Garden Tools,22765,D,,D|Gardening|Individual|Garden Tools|2025-10
2025-11-01,expense,Gardening,Individual,individual,Garden Tools,1300,D,,D|Gardening|Individual|Garden Tools|2025-11
2025-12-01,expense,Gardening,Individual,individual,Garden Tools,7015,D,,D|Gardening|Individual|Garden Tools|2025-12
2026-01-01,expense,Gardening,Individual,individual,Garden Tools,8880,D,,D|Gardening|Individual|Garden Tools|2026-01
2026-03-01,expense,Gardening,Individual,individual,Garden Tools,23360,D,,D|Gardening|Individual|Garden Tools|2026-03
2025-10-01,expense,Gardening,Individual,individual,Gardeners Salary,93771,D,,D|Gardening|Individual|Gardeners Salary|2025-10
2025-11-01,expense,Gardening,Individual,individual,Gardeners Salary,94330,D,,D|Gardening|Individual|Gardeners Salary|2025-11
2025-12-01,expense,Gardening,Individual,individual,Gardeners Salary,90045,D,,D|Gardening|Individual|Gardeners Salary|2025-12
2026-01-01,expense,Gardening,Individual,individual,Gardeners Salary,96255,D,,D|Gardening|Individual|Gardeners Salary|2026-01
2026-02-01,expense,Gardening,Individual,individual,Gardeners Salary,88692.66,D,,D|Gardening|Individual|Gardeners Salary|2026-02
2026-03-01,expense,Gardening,Individual,individual,Gardeners Salary,83835,D,,D|Gardening|Individual|Gardeners Salary|2026-03
2025-10-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,19598.64,D,,D|Gardening|Individual|Gardening Supervisor Salary|2025-10
2025-11-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,25315,D,,D|Gardening|Individual|Gardening Supervisor Salary|2025-11
2025-12-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,25315,D,,D|Gardening|Individual|Gardening Supervisor Salary|2025-12
2026-01-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,25314.91,D,,D|Gardening|Individual|Gardening Supervisor Salary|2026-01
2026-02-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,24410.97,D,,D|Gardening|Individual|Gardening Supervisor Salary|2026-02
2026-03-01,expense,Gardening,Individual,individual,Gardening Supervisor Salary,24498.3,D,,D|Gardening|Individual|Gardening Supervisor Salary|2026-03
2025-10-01,expense,Uncategorized,Individual,individual,Help Desk Salary,28684.92,D,,D|Uncategorized|Individual|Help Desk Salary|2025-10
2025-11-01,expense,Uncategorized,Individual,individual,Help Desk Salary,25816,D,,D|Uncategorized|Individual|Help Desk Salary|2025-11
2025-12-01,expense,Uncategorized,Individual,individual,Help Desk Salary,26834,D,,D|Uncategorized|Individual|Help Desk Salary|2025-12
2026-01-01,expense,Uncategorized,Individual,individual,Help Desk Salary,26834.28,D,,D|Uncategorized|Individual|Help Desk Salary|2026-01
2026-02-01,expense,Uncategorized,Individual,individual,Help Desk Salary,25611.5,D,,D|Uncategorized|Individual|Help Desk Salary|2026-02
2026-03-01,expense,Uncategorized,Individual,individual,Help Desk Salary,26834.28,D,,D|Uncategorized|Individual|Help Desk Salary|2026-03
2025-10-01,expense,Housekeeping,Individual,individual,HK Materials,68540,D,,D|Housekeeping|Individual|HK Materials|2025-10
2025-11-01,expense,Housekeeping,Individual,individual,HK Materials,4370,D,,D|Housekeeping|Individual|HK Materials|2025-11
2025-12-01,expense,Housekeeping,Individual,individual,HK Materials,8050,D,,D|Housekeeping|Individual|HK Materials|2025-12
2026-01-01,expense,Housekeeping,Individual,individual,HK Materials,650,D,,D|Housekeeping|Individual|HK Materials|2026-01
2026-02-01,expense,Housekeeping,Individual,individual,HK Materials,5450,D,,D|Housekeeping|Individual|HK Materials|2026-02
2026-03-01,expense,Housekeeping,Individual,individual,HK Materials,28390,D,,D|Housekeeping|Individual|HK Materials|2026-03
2025-10-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,270357,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2025-10
2025-11-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,292876,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2025-11
2025-12-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,314986,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2025-12
2026-01-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,309726.7,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2026-01
2026-02-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,306031,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2026-02
2026-03-01,expense,Housekeeping,Individual,individual,House Keeping Janitor Salary,302129.63,D,,D|Housekeeping|Individual|House Keeping Janitor Salary|2026-03
2025-10-01,expense,Housekeeping,Individual,individual,Housekeeping Supervisor Salary,24205.11,D,,D|Housekeeping|Individual|Housekeeping Supervisor Salary|2025-10
