date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
12/15/2025,income,Other Income,Community Hall,company,Hall rental,11946,C,,
2/15/2026,income,Other Income,Community Hall,company,Hall rental,15765,C,,
3/15/2026,income,Other Income,Community Hall,company,Hall rental,23256,C,,
4/15/2026,income,Other Income,Community Hall,company,Hall rental,25915,C,,
6/15/2026,income,Other Income,Community Hall,company,Hall rental,13648,C,,
7/15/2026,income,Other Income,Community Hall,company,Hall rental,10000,C,,
9/15/2025,income,Other Income,Community Hall,company,Event usage charges,9787,C,,
11/15/2025,income,Other Income,Community Hall,company,Event usage charges,6635,C,,
1/15/2026,income,Other Income,Community Hall,company,Event usage charges,1685,C,,
3/15/2026,income,Other Income,Community Hall,company,Event usage charges,8956,C,,
5/15/2026,income,Other Income,Community Hall,company,Event usage charges,7855,C,,
7/15/2026,income,Other Income,Community Hall,company,Event usage charges,1500,C,,
8/15/2025,income,Other Income,Signage Rental,individual,Billboard fee,12000,C,,
9/15/2025,income,Other Income,Signage Rental,individual,Billboard fee,12421,C,,
10/15/2025,income,Other Income,Signage Rental,individual,Billboard fee,12455,C,,
11/15/2025,income,Other Income,Signage Rental,individual,Billboard fee,12071,C,,
12/15/2025,income,Other Income,Signage Rental,individual,Billboard fee,11622,C,,
1/15/2026,income,Other Income,Signage Rental,individual,Billboard fee,11521,C,,
2/15/2026,income,Other Income,Signage Rental,individual,Billboard fee,11860,C,,
3/15/2026,income,Other Income,Signage Rental,individual,Billboard fee,12328,C,,
4/15/2026,income,Other Income,Signage Rental,individual,Billboard fee,12495,C,,
5/15/2026,income,Other Income,Signage Rental,individual,Billboard fee,12206,C,,
6/15/2026,income,Other Income,Signage Rental,individual,Billboard fee,11728,C,,
7/15/2026,income,Other Income,Signage Rental,individual,Billboard fee,11500,C,,
