date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
2025-12-15,expense,Maintenance,ABC Enterprise,company,Labour charges,62730,D,,
2026-01-15,expense,Maintenance,ABC Enterprise,company,Labour charges,62123,D,,
2026-02-15,expense,Maintenance,ABC Enterprise,company,Labour charges,64162,D,,
2026-03-15,expense,Maintenance,ABC Enterprise,company,Labour charges,66971,D,,
2026-04-15,expense,Maintenance,ABC Enterprise,company,Labour charges,67968,D,,
2026-05-15,expense,Maintenance,ABC Enterprise,company,Labour charges,66236,D,,
2026-06-15,expense,Maintenance,ABC Enterprise,company,Labour charges,63368,D,,
2026-07-15,expense,Maintenance,ABC Enterprise,company,Labour charges,62000,D,,
2025-08-15,expense,Maintenance,ABC Enterprise,company,Spare parts,18000,D,,
2025-10-15,expense,Maintenance,ABC Enterprise,company,Spare parts,23456,D,,
2025-11-15,expense,Maintenance,ABC Enterprise,company,Spare parts,18847,D,,
2026-01-15,expense,Maintenance,ABC Enterprise,company,Spare parts,12246,D,,
2026-02-15,expense,Maintenance,ABC Enterprise,company,Spare parts,16324,D,,
2026-04-15,expense,Maintenance,ABC Enterprise,company,Spare parts,23936,D,,
2026-05-15,expense,Maintenance,ABC Enterprise,company,Spare parts,20473,D,,
2026-06-15,expense,Maintenance,ABC Enterprise,company,Spare parts,14736,D,,
2026-07-15,expense,Maintenance,ABC Enterprise,company,Spare parts,12000,D,,
2025-10-15,expense,Maintenance,ABC Enterprise,company,STP salt purchase,9455,D,,
2026-01-15,expense,Maintenance,ABC Enterprise,company,STP salt purchase,8521,D,,
2026-04-15,expense,Maintenance,ABC Enterprise,company,STP salt purchase,9495,D,,
2026-07-15,expense,Maintenance,ABC Enterprise,company,STP salt purchase,8500,D,,
2025-09-15,expense,Maintenance,John (Plumber),individual,Plumbing repair,7445,D,,
2025-11-15,expense,Maintenance,John (Plumber),individual,Plumbing repair,4994,D,,
2025-12-15,expense,Maintenance,John (Plumber),individual,Plumbing repair,1851,D,,
2026-03-15,expense,Maintenance,John (Plumber),individual,Plumbing repair,6799,D,,
2026-05-15,expense,Maintenance,John (Plumber),individual,Plumbing repair,5942,D,,
2026-06-15,expense,Maintenance,John (Plumber),individual,Plumbing repair,2596,D,,
2025-08-15,expense,Security,SafeGuard Services,company,Guard salaries,120000,D,,
2025-09-15,expense,Security,SafeGuard Services,company,Guard salaries,121683,D,,
2025-10-15,expense,Security,SafeGuard Services,company,Guard salaries,121819,D,,
2025-11-15,expense,Security,SafeGuard Services,company,Guard salaries,120282,D,,
2025-12-15,expense,Security,SafeGuard Services,company,Guard salaries,118486,D,,
2026-01-15,expense,Security,SafeGuard Services,company,Guard salaries,118082,D,,
2026-02-15,expense,Security,SafeGuard Services,company,Guard salaries,119441,D,,
2026-03-15,expense,Security,SafeGuard Services,company,Guard salaries,121314,D,,
2026-04-15,expense,Security,SafeGuard Services,company,Guard salaries,121979,D,,
2026-05-15,expense,Security,SafeGuard Services,company,Guard salaries,120824,D,,
2026-06-15,expense,Security,SafeGuard Services,company,Guard salaries,118912,D,,
2026-07-15,expense,Security,SafeGuard Services,company,Guard salaries,118000,D,,
2025-08-15,expense,Housekeeping,CleanCo,company,Staff wages,58000,D,,
2025-09-15,expense,Housekeeping,CleanCo,company,Staff wages,59262,D,,
2025-10-15,expense,Housekeeping,CleanCo,company,Staff wages,59364,D,,
2025-11-15,expense,Housekeeping,CleanCo,company,Staff wages,58212,D,,
2025-12-15,expense,Housekeeping,CleanCo,company,Staff wages,56865,D,,
2026-01-15,expense,Housekeeping,CleanCo,company,Staff wages,56562,D,,
2026-02-15,expense,Housekeeping,CleanCo,company,Staff wages,57581,D,,
2026-03-15,expense,Housekeeping,CleanCo,company,Staff wages,58985,D,,
2026-04-15,expense,Housekeeping,CleanCo,company,Staff wages,59484,D,,
2026-05-15,expense,Housekeeping,CleanCo,company,Staff wages,58618,D,,
2026-06-15,expense,Housekeeping,CleanCo,company,Staff wages,57184,D,,
2026-07-15,expense,Housekeeping,CleanCo,company,Staff wages,56500,D,,
2025-08-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,7500,D,,
2025-09-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,8762,D,,
2025-10-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,8864,D,,
2025-11-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,7712,D,,
2025-12-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,6365,D,,
2026-01-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,6062,D,,
2026-02-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,7081,D,,
2026-03-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,8485,D,,
2026-04-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,8984,D,,
2026-05-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,8118,D,,
2026-06-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,6684,D,,
2026-07-15,expense,Housekeeping,CleanCo,company,Cleaning supplies,6000,D,,
2025-08-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,6000,D,,
2025-09-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,10628,D,,
2025-10-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,11001,D,,
2025-11-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,6776,D,,
2025-12-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,1838,D,,
2026-01-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,726,D,,
2026-02-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,4463,D,,
2026-03-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,9613,D,,
2026-04-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,11441,D,,
2026-05-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,8267,D,,
2026-06-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,3008,D,,
2026-07-15,expense,Petty Cash,Office petty cash,individual,Ad-hoc expenses,500,D,,
2025-08-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,340000,C,,
2025-09-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,352622,C,,
2025-10-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,353639,C,,
2025-11-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,342117,C,,
2025-12-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,328648,C,,
2026-01-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,325616,C,,
2026-02-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,335809,C,,
2026-03-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,349855,C,,
2026-04-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,354840,C,,
2026-05-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,346182,C,,
2026-06-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,331840,C,,
2026-07-15,income,Maintenance Collections,Monthly maintenance,company,Flat maintenance dues,325000,C,,
2025-08-15,income,Other Income,Community Hall,company,Hall rental,18000,C,,
2025-10-15,income,Other Income,Community Hall,company,Hall rental,25274,C,,
2025-11-15,income,Other Income,Community Hall,company,Hall rental,19129,C,,
2025-12-15,income,Other Income,Community Hall,company,Hall rental,11946,C,,
2026-02-15,income,Other Income,Community Hall,company,Hall rental,15765,C,,
2026-03-15,income,Other Income,Community Hall,company,Hall rental,23256,C,,
2026-04-15,income,Other Income,Community Hall,company,Hall rental,25915,C,,
2026-06-15,income,Other Income,Community Hall,company,Hall rental,13648,C,,
2026-07-15,income,Other Income,Community Hall,company,Hall rental,10000,C,,
2025-09-15,income,Other Income,Community Hall,company,Event usage charges,9787,C,,
2025-11-15,income,Other Income,Community Hall,company,Event usage charges,6635,C,,
2026-01-15,income,Other Income,Community Hall,company,Event usage charges,1685,C,,
2026-03-15,income,Other Income,Community Hall,company,Event usage charges,8956,C,,
2026-05-15,income,Other Income,Community Hall,company,Event usage charges,7855,C,,
2026-07-15,income,Other Income,Community Hall,company,Event usage charges,1500,C,,
2025-08-15,income,Other Income,Signage Rental,individual,Billboard fee,12000,C,,
2025-09-15,income,Other Income,Signage Rental,individual,Billboard fee,12421,C,,
2025-10-15,income,Other Income,Signage Rental,individual,Billboard fee,12455,C,,
2025-11-15,income,Other Income,Signage Rental,individual,Billboard fee,12071,C,,
2025-12-15,income,Other Income,Signage Rental,individual,Billboard fee,11622,C,,
2026-01-15,income,Other Income,Signage Rental,individual,Billboard fee,11521,C,,
2026-02-15,income,Other Income,Signage Rental,individual,Billboard fee,11860,C,,
2026-03-15,income,Other Income,Signage Rental,individual,Billboard fee,12328,C,,
2026-04-15,income,Other Income,Signage Rental,individual,Billboard fee,12495,C,,
2026-05-15,income,Other Income,Signage Rental,individual,Billboard fee,12206,C,,
2026-06-15,income,Other Income,Signage Rental,individual,Billboard fee,11728,C,,
2026-07-15,income,Other Income,Signage Rental,individual,Billboard fee,11500,C,,
